English,True_Manipuri_Bengali,True_Manipuri_Meetei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The rare and graceful Guará, resembling a flamingo with a long, curved beak, is found only on Caju Island.",মঙক শাংবা উচেক ফ্লেমিঙ্গো মানবা অশাংবা অকোনবা মচিন পানবা য়াম্না তাংনা ফংবা অমসুং চিং-লেম্না ফজরবা গুআরা হায়রিবা উচেক মখল অসি কাজু ঈথৎখক্তদা থম্মী।,"ꯂꯝꯕꯥ, ꯀꯨꯄꯁꯤꯜꯂꯕꯥ ꯈꯣꯡꯎꯞ ꯑꯃꯥ ꯂꯩꯕꯥ ꯐ꯭ꯂꯦꯃꯤꯡꯒꯣ ꯑꯃꯒꯥ ꯃꯥꯟꯅꯕꯥ ꯌꯥꯝꯅꯥ ꯊꯨꯅꯥ ꯊꯣꯀꯄꯥ ꯑꯃꯁꯨꯡ ꯃꯁꯛ ꯊꯣꯀꯄꯥ ꯒꯨꯌꯥꯔꯥ ꯑꯁꯤ ꯀꯥꯖꯨ ꯑꯥꯏꯂꯦꯟꯗ ꯈꯛꯇꯗꯥ ꯎꯕꯥ ꯐꯪꯏ꯫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"There is only one small pousada here, but the ecotourism options are endless! Another unforgettable option is to stay in one of the surrounding towns, where the infrastructure for ecotourism is developing rapidly, while maintaining its historical charm from the days when it was the seventh largest port in the country.","মফম অসিদা অপিকপা পৌসাদা অমখক লৈ, অদুবু মহৌশাগী ওইবা লমকোয়বগা মরি লৈনবা অমদি মহৌশাগী দৃশ্য কয়া অসিদা চৎনবা মফমশিংদি লোয়বা নাইদে! অতোপ্পা নহাক্না কাওবা ঙম্লোইদবা অমনা প্রকৃতিগা য়াম্না নক্নবা লমকোয়বগী লমদা য়াম্না থুনা চাওখৎলকপা অসিনি, মতম কয়াগী মমাংদগী মফম অসিগী ওইবা ইতিহাসিক্কা মরি লৈননা ফজহন্নবা শেম-শারিবা মফম অসি লৈবাক অসিগী ওইবা খ্বাইদগী চাওবা ৭ শুবা জহাজ থাংফম্নি।","ꯃꯐꯝ ꯑꯁꯤꯗꯥ ꯑꯄꯤꯀꯄꯥ ꯄꯎꯁꯥꯗꯥ ꯑꯃꯈꯛꯇꯃꯛ ꯂꯩꯔꯤ, ꯑꯗꯨꯕꯨ ꯏꯀꯣꯇꯨꯔꯤꯖꯃꯒꯤ ꯑꯣꯄꯁꯅꯁꯤꯡꯗꯤ ꯂꯣꯏꯕꯥ ꯅꯥꯏꯗꯦ! ꯑꯇꯣꯞꯄꯥ ꯀꯥꯑꯣꯔꯣꯏꯗꯕꯥ ꯑꯣꯄꯁꯟ ꯑꯃꯗꯤ ꯏꯀꯣꯇꯨꯔꯤꯖꯃꯒꯤ ꯏꯅꯐ꯭ꯔꯥꯁ꯭ꯠꯔꯀꯆꯔ ꯌꯥꯝꯅꯥ ꯌꯥꯡꯅꯥ ꯆꯥꯎꯈꯠꯂꯛꯂꯤꯕꯥ ꯑꯀꯣꯌꯕꯗꯥ ꯂꯩꯕꯥ ꯁꯍꯔ ꯑꯃꯗꯥ ꯂꯩꯕꯥ ꯑꯁꯤꯅꯤ, ꯑꯗꯨꯒꯥ ꯂꯩꯕꯥꯛ ꯑꯁꯤꯒꯤ ꯷ꯁꯨꯕꯥ ꯈ꯭ꯕꯥꯏꯗꯒꯤ ꯆꯥꯎꯕꯥ ꯄꯣꯔꯠ ꯑꯣꯏꯔꯝꯕꯥ ꯃꯇꯃꯗꯒꯤ ꯄꯨꯋꯥꯔꯤꯒꯤ ꯑꯣꯏꯕꯥ ꯃꯑꯣꯡ ꯃꯇꯧ ꯑꯗꯨ ꯉꯥꯛꯇꯨꯅꯥ ꯊꯝꯂꯤ꯫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fly into Teresina, the capital of the state of Piauí, and from there to Parnaíba the drive is 220 miles, followed by a 4 hour boat ride to Caju Island.",কাজু ঈথৎ তম্না চৎনবগীদমক পিয়াউই রাজ্যগী কোনুং টেরেসিনাদগী এরোপ্লেন তোংদুনা অমদি পরনাইবাদগী মাইল্স ২২০ হি তোংদুনা পুং ৪ চৎলগা য়ৌই।,"ꯄꯤꯌꯥꯎꯏ ꯔꯥꯖ꯭ꯌꯒꯤ ꯀꯦꯄꯤꯇꯦꯜ ꯑꯣꯏꯔꯤꯕꯥ ꯇꯦꯔꯦꯁꯤꯅꯥꯗꯥ ꯎꯔꯦ, ꯑꯃꯁꯨꯡ ꯃꯐꯝ ꯑꯗꯨꯗꯒꯤ ꯄꯥꯔꯅꯥꯏꯕꯥ ꯐꯥꯑꯣꯕꯥ ꯗ꯭ꯔꯥꯏꯕ ꯑꯁꯤ ꯃꯥꯏꯜ ꯲꯲꯰ꯅꯤ, ꯃꯗꯨꯒꯤ ꯃꯇꯨꯡꯗꯥ ꯄꯨꯡ ꯴ꯒꯤ ꯕꯣꯠ ꯊꯧꯗꯨꯅꯥ ꯀꯥꯖꯨ ꯑꯥꯏꯂꯦꯟꯗꯗꯥ ꯆꯠꯀꯅꯤ꯫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I am a student.,ঐ মহৈরোই অমনি।,ꯑꯩ ꯃꯍꯩꯔꯣꯏ ꯑꯃꯅꯤ꯫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is your name?,নমিং করি কৌবগে?,ꯅꯃꯤꯡ ꯀꯔꯤ ꯀꯧꯕꯒꯦ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education is very important.,লাইরিক তম্বা অসি য়াম্না মরু ওই।,ꯂꯥꯏꯔꯤꯛ ꯇꯝꯕꯥ ꯑꯁꯤ ꯌꯥꯝꯅꯥ ꯃꯔꯨ ꯑꯣꯏ꯫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Where are you going?,নহাক কদাইদা চৎকদবা?,ꯅꯍꯥꯛ ꯀꯗꯥꯏꯗꯥ ꯆꯠꯀꯗꯕꯥ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South India’s legendary king Tipu Sultan held Bekal Fort before losing it to the British East India Company. ,খাথংবা ভারতকী মীয়াম্না সক-শোন্নবা য়াম্না ফাওবা নিংথৌ তিপু সুলতাননা বেকাল ফোর্ট অসি ব্রিটিশ ইষ্ট ইন্দিয়া কমপ্যানিনা লৌশিনদ্রিঙৈ মমাংদা পানলম্মী।,ꯂꯣꯌꯥꯅꯕꯥ ꯕꯦꯀꯜ ꯐꯣꯔꯇꯅꯤꯒꯤ ꯄꯨꯋꯥꯔꯤ ꯑꯁꯤ ꯱꯲ꯁꯨꯕꯥ ꯆꯍꯤꯆꯥꯒꯤ ꯄꯨꯋꯥꯔꯤꯒꯤ ꯔꯦꯀꯣꯔꯗ ꯑꯃꯅꯤ꯫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The grand fort presides over the lovely Bekal Beach.,অচৌবা লানবল অসি য়াম্না ফজরবা বেকাল বীচতা লৈ।,ꯑꯆꯧꯕꯥ ꯂꯅꯕꯜ ꯑꯁꯤ ꯌꯥꯃꯅꯥ ꯐꯖꯔꯕꯥ ꯕꯦꯀꯜ ꯕꯤꯆꯇꯥ ꯂꯤ꯫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kannur is a seat of North Malabar’s ancient folk art, Theyyam.",কান্নুর অসি অৱাংথংবা মালাবারগী অরিবা ফোক আর্ট থেয়ামগী লৈফমনি।,ꯀꯟꯅꯨꯔꯒꯤ ꯑꯣꯁꯤ ꯑꯋꯥꯡꯊꯣꯡꯕꯥ ꯃꯥꯂꯥꯕꯔꯒꯤ ꯑꯔꯤꯕꯥ ꯐꯣꯛ ꯑꯥꯔꯠ ꯊꯤꯌꯥꯃꯒꯤ ꯂꯥꯏꯐꯃꯅꯤ꯫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Theyyam is a ritualistic amalgam of worship, dance, music and mine, played out in front of shrines in honour of the deities, with the  most spectacular headgear and ornamentation. ","থেয়াম অসি ইরাৎ-থৌনি, জগোয়, ঈশৈ-নোংমাইগী য়ানশন্নরবা ধর্ম্মগী থৌরম অমনি মসি য়াম্না ফজবা লুহুপ অমসুং লৈতেংগা লোয়ননা লাইগী থৌরম তৌবা মতমদা লাইমাঙদা পাংথোকই।","ꯃꯈꯣꯌꯅꯥ ꯈ꯭ꯕꯥꯏꯗꯒꯤ ꯃꯔꯨ ꯑꯣꯏꯕꯥ, [...]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"At Prassinikadavu Muthappan Temple, Theyyam is performed every day.",প্রাসীনিকাদাভু মুথাপ্পান লাইশঙদা থেয়াম অসি নুমিৎ খুদিংগী শান্নৈ নত্ত্রগা উৎলি।,ꯗꯤ ꯄ꯭ꯔꯁꯤꯅꯤꯀꯥꯗꯚꯨ ꯃꯨꯊꯥꯞꯄꯥꯟ ꯂꯥꯏꯁꯥꯉ꯭ꯒꯗꯥ ꯊꯤꯌꯥꯝ ꯑꯁꯤ ꯅꯨꯃꯤꯠ ꯈꯨꯗꯤꯡꯒꯤ ꯁꯟꯅꯣꯏ ꯅꯠꯔꯒ ꯎꯇꯂꯤ꯫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
